"","date","lib","prix"
"333896",2009-07-02,"BIAT",49.11
"333902",2009-08-06,"BIAT",49.18
"333903",2009-09-01,"BIAT",49.18
"333929",2009-08-05,"BIAT",49.44
"333940",2009-08-11,"BIAT",49.48
"333959",2009-08-10,"BIAT",49.5
"334181",2009-09-02,"BIAT",50.45
"334212",2009-06-29,"BIAT",50.53
"334220",2009-07-01,"BIAT",50.6
"334303",2009-09-03,"BIAT",51.11
"334353",2009-09-08,"BIAT",51.54
"334406",2009-06-30,"BIAT",51.99
"334434",2009-09-07,"BIAT",52
"334435",2009-09-09,"BIAT",52
"334574",2009-09-04,"BIAT",52.6
"334702",2011-06-20,"BIAT",53.02
"334732",2009-09-10,"BIAT",53.2
"334832",2011-06-21,"BIAT",53.51
"334835",2009-09-14,"BIAT",53.52
"335029",2009-09-11,"BIAT",54
"335036",2011-05-26,"BIAT",54.02
"335037",2011-06-22,"BIAT",54.02
"335068",2011-05-27,"BIAT",54.2
"335103",2011-05-23,"BIAT",54.3
"335106",2011-06-06,"BIAT",54.31
"335111",2011-02-25,"BIAT",54.36
"335120",2009-10-05,"BIAT",54.4
"335125",2009-11-02,"BIAT",54.41
"335126",2009-11-03,"BIAT",54.42
"335148",2011-05-30,"BIAT",54.49
"335238",2011-05-25,"BIAT",54.9
"335241",2009-09-17,"BIAT",54.9
"335248",2011-05-13,"BIAT",54.95
"335250",2011-06-07,"BIAT",54.98
"335254",2011-05-31,"BIAT",54.99
"335293",2011-04-15,"BIAT",55
"335294",2011-05-12,"BIAT",55
"335295",2011-05-18,"BIAT",55
"335296",2011-05-20,"BIAT",55
"335297",2011-06-02,"BIAT",55
"335298",2011-06-03,"BIAT",55
"335299",2011-06-09,"BIAT",55
"335320",2009-10-02,"BIAT",55
"335323",2009-10-06,"BIAT",55
"335342",2011-04-14,"BIAT",55.02
"335345",2009-10-07,"BIAT",55.02
"335352",2011-04-18,"BIAT",55.2
"335357",2009-10-27,"BIAT",55.2
"335358",2009-11-09,"BIAT",55.2
"335399",2009-11-10,"BIAT",55.3
"335402",2011-05-24,"BIAT",55.35
"335412",2009-11-06,"BIAT",55.38
"335413",2009-11-04,"BIAT",55.39
"335414",2009-11-05,"BIAT",55.39
"335416",2011-06-08,"BIAT",55.4
"335423",2011-05-11,"BIAT",55.48
"335429",2011-05-10,"BIAT",55.5
"335430",2011-05-19,"BIAT",55.5
"335431",2011-06-01,"BIAT",55.5
"335443",2009-10-22,"BIAT",55.5
"335444",2009-10-23,"BIAT",55.5
"335445",2009-10-28,"BIAT",55.5
"335446",2009-10-29,"BIAT",55.5
"335448",2009-10-09,"BIAT",55.51
"335462",2009-09-15,"BIAT",55.62
"335463",2009-09-16,"BIAT",55.62
"335464",2011-05-05,"BIAT",55.63
"335467",2009-10-01,"BIAT",55.7
"335468",2009-10-30,"BIAT",55.7
"335471",2011-05-16,"BIAT",55.74
"335477",2009-12-03,"BIAT",55.76
"335480",2011-06-17,"BIAT",55.78
"335482",2011-06-10,"BIAT",55.8
"335504",2011-04-29,"BIAT",55.9
"335507",2009-10-26,"BIAT",55.9
"335508",2009-11-18,"BIAT",55.9
"335539",2011-05-06,"BIAT",56
"335540",2011-05-17,"BIAT",56
"335541",2011-06-13,"BIAT",56
"335566",2009-09-18,"BIAT",56
"335570",2009-11-19,"BIAT",56
"335571",2009-11-20,"BIAT",56
"335572",2009-12-02,"BIAT",56
"335579",2009-12-04,"BIAT",56.03
"335580",2011-04-21,"BIAT",56.04
"335582",2009-10-21,"BIAT",56.04
"335583",2009-11-23,"BIAT",56.04
"335586",2009-09-30,"BIAT",56.06
"335596",2009-11-12,"BIAT",56.1
"335597",2011-06-23,"BIAT",56.12
"335606",2009-10-08,"BIAT",56.2
"335607",2009-11-17,"BIAT",56.21
"335610",2009-11-11,"BIAT",56.24
"335612",2011-07-04,"BIAT",56.26
"335693",2009-11-24,"BIAT",56.5
"335694",2009-11-25,"BIAT",56.5
"335695",2009-11-26,"BIAT",56.5
"335696",2009-12-01,"BIAT",56.5
"335713",2011-02-24,"BIAT",56.57
"335718",2011-05-09,"BIAT",56.59
"335725",2011-04-28,"BIAT",56.62
"335737",2011-07-05,"BIAT",56.75
"335739",2011-03-07,"BIAT",56.8
"335740",2011-04-19,"BIAT",56.8
"335744",2009-11-16,"BIAT",56.8
"335745",2009-10-20,"BIAT",56.81
"335758",2011-06-28,"BIAT",56.88
"335759",2011-06-27,"BIAT",56.89
"335795",2009-11-30,"BIAT",56.95
"335802",2009-10-19,"BIAT",56.98
"335808",2009-11-13,"BIAT",56.99
"335820",2011-04-22,"BIAT",57
"335821",2011-06-15,"BIAT",57
"335822",2011-06-24,"BIAT",57
"335842",2009-09-24,"BIAT",57
"335843",2009-09-25,"BIAT",57
"335844",2009-10-15,"BIAT",57
"335845",2009-12-07,"BIAT",57
"335851",2009-09-23,"BIAT",57.01
"335852",2009-10-16,"BIAT",57.01
"335876",2011-06-16,"BIAT",57.1
"335883",2009-10-12,"BIAT",57.19
"335902",2011-06-14,"BIAT",57.21
"335922",2011-04-13,"BIAT",57.31
"335926",2009-10-14,"BIAT",57.34
"335927",2011-05-04,"BIAT",57.35
"335935",2009-09-29,"BIAT",57.38
"335936",2009-10-13,"BIAT",57.38
"335938",2011-05-02,"BIAT",57.4
"335941",2011-06-29,"BIAT",57.43
"335968",2011-03-10,"BIAT",57.5
"335969",2011-03-14,"BIAT",57.5
"335970",2011-07-06,"BIAT",57.5
"335995",2011-07-11,"BIAT",57.6
"336015",2011-05-03,"BIAT",57.78
"336018",2011-07-12,"BIAT",57.8
"336033",2011-07-08,"BIAT",57.9
"336034",2011-07-13,"BIAT",57.9
"336042",2011-03-11,"BIAT",57.92
"336059",2011-07-07,"BIAT",57.99
"336062",2009-09-28,"BIAT",57.99
"336072",2011-04-20,"BIAT",58
"336073",2011-04-27,"BIAT",58
"336074",2011-06-30,"BIAT",58
"336093",2009-12-08,"BIAT",58
"336094",2009-12-09,"BIAT",58
"336095",2009-12-10,"BIAT",58
"336128",2011-03-17,"BIAT",58.13
"336142",2011-07-14,"BIAT",58.25
"336151",2011-07-15,"BIAT",58.4
"336155",2011-07-01,"BIAT",58.45
"336265",2011-04-12,"BIAT",59
"336266",2011-04-25,"BIAT",59
"336267",2011-04-26,"BIAT",59
"336269",2011-07-18,"BIAT",59
"336350",2011-03-15,"BIAT",59.1
"336369",2011-02-23,"BIAT",59.21
"336381",2011-03-09,"BIAT",59.3
"336382",2011-03-16,"BIAT",59.3
"336384",2011-03-08,"BIAT",59.35
"336386",2011-07-19,"BIAT",59.4
"336407",2012-10-19,"BIAT",59.5
"336408",2012-12-05,"BIAT",59.5
"336436",2012-10-09,"BIAT",59.6
"336437",2012-10-17,"BIAT",59.6
"336447",2009-12-14,"BIAT",59.7
"336466",2011-03-18,"BIAT",59.87
"336478",2012-10-22,"BIAT",59.98
"336498",2011-03-30,"BIAT",60
"336499",2011-04-08,"BIAT",60
"336521",2013-12-19,"BIAT",60
"336526",2012-10-08,"BIAT",60
"336527",2012-10-11,"BIAT",60
"336528",2012-10-12,"BIAT",60
"336529",2012-10-16,"BIAT",60
"336530",2012-10-18,"BIAT",60
"336531",2012-10-23,"BIAT",60
"336532",2012-12-06,"BIAT",60
"336533",2012-12-12,"BIAT",60
"336534",2012-12-14,"BIAT",60
"336551",2009-12-15,"BIAT",60
"336556",2011-03-31,"BIAT",60.01
"336560",2012-12-13,"BIAT",60.01
"336565",2013-12-30,"BIAT",60.03
"336593",2011-08-09,"BIAT",60.15
"336594",2012-10-03,"BIAT",60.15
"336599",2013-12-25,"BIAT",60.2
"336606",2013-12-31,"BIAT",60.25
"336611",2014-01-03,"BIAT",60.3
"336612",2014-01-16,"BIAT",60.3
"336617",2011-02-03,"BIAT",60.39
"336631",2011-02-02,"BIAT",60.45
"336634",2014-01-17,"BIAT",60.45
"336653",2013-12-27,"BIAT",60.49
"336658",2011-04-11,"BIAT",60.5
"336659",2011-08-01,"BIAT",60.5
"336664",2014-01-20,"BIAT",60.5
"336665",2014-01-21,"BIAT",60.5
"336666",2014-01-22,"BIAT",60.5
"336667",2014-01-23,"BIAT",60.5
"336668",2013-12-20,"BIAT",60.5
"336669",2012-10-04,"BIAT",60.5
"336670",2012-10-05,"BIAT",60.5
"336671",2012-11-30,"BIAT",60.5
"336672",2012-12-04,"BIAT",60.5
"336674",2011-04-06,"BIAT",60.51
"336676",2011-08-02,"BIAT",60.6
"336677",2012-12-03,"BIAT",60.6
"336679",2011-07-27,"BIAT",60.61
"336681",2014-07-17,"BIAT",60.63
"336686",2011-08-15,"BIAT",60.68
