"","date","lib","prix"
"337788",2014-05-14,"BIAT",64.9
"337790",2013-03-01,"BIAT",64.9
"337791",2013-03-04,"BIAT",64.9
"337797",2013-02-28,"BIAT",64.95
"337801",2013-02-21,"BIAT",64.96
"337806",2014-09-22,"BIAT",64.98
"337808",2013-02-13,"BIAT",64.99
"337816",2014-02-07,"BIAT",65
"337826",2014-04-24,"BIAT",65
"337828",2014-05-13,"BIAT",65
"337839",2014-09-19,"BIAT",65
"337840",2014-09-29,"BIAT",65
"337841",2014-10-22,"BIAT",65
"337842",2013-02-08,"BIAT",65
"337843",2013-02-14,"BIAT",65
"337844",2013-03-11,"BIAT",65
"337845",2013-03-12,"BIAT",65
"337849",2013-05-21,"BIAT",65
"337850",2013-05-23,"BIAT",65
"337851",2013-05-30,"BIAT",65
"337852",2013-05-31,"BIAT",65
"337853",2013-06-06,"BIAT",65
"337854",2013-09-10,"BIAT",65
"337861",2012-09-28,"BIAT",65
"337862",2012-11-19,"BIAT",65
"337895",2014-03-13,"BIAT",65.01
"337896",2014-10-07,"BIAT",65.01
"337899",2013-06-07,"BIAT",65.02
"337902",2013-05-29,"BIAT",65.03
"337905",2014-04-15,"BIAT",65.05
"337909",2013-05-24,"BIAT",65.1
"337910",2013-05-27,"BIAT",65.1
"337913",2012-11-08,"BIAT",65.12
"337921",2014-02-13,"BIAT",65.2
"337924",2014-05-27,"BIAT",65.2
"337925",2013-06-10,"BIAT",65.2
"337926",2012-11-09,"BIAT",65.2
"337937",2014-09-24,"BIAT",65.28
"337938",2012-11-14,"BIAT",65.28
"337942",2014-09-23,"BIAT",65.29
"337943",2012-09-27,"BIAT",65.29
"337944",2014-03-12,"BIAT",65.3
"337945",2014-04-21,"BIAT",65.3
"337948",2013-05-22,"BIAT",65.3
"337949",2013-06-11,"BIAT",65.3
"337950",2012-11-13,"BIAT",65.3
"337952",2014-04-17,"BIAT",65.31
"337954",2012-11-12,"BIAT",65.32
"337974",2014-02-14,"BIAT",65.4
"337975",2014-02-18,"BIAT",65.4
"337977",2013-01-28,"BIAT",65.4
"337978",2013-01-29,"BIAT",65.4
"337986",2014-09-25,"BIAT",65.46
"337987",2014-09-26,"BIAT",65.46
"337998",2014-03-11,"BIAT",65.5
"338000",2014-04-02,"BIAT",65.5
"338001",2014-04-03,"BIAT",65.5
"338002",2014-04-14,"BIAT",65.5
"338003",2014-04-16,"BIAT",65.5
"338004",2014-04-18,"BIAT",65.5
"338005",2014-04-22,"BIAT",65.5
"338007",2014-09-30,"BIAT",65.5
"338008",2014-10-01,"BIAT",65.5
"338009",2014-10-02,"BIAT",65.5
"338010",2014-10-03,"BIAT",65.5
"338011",2014-10-06,"BIAT",65.5
"338012",2014-10-08,"BIAT",65.5
"338013",2014-10-09,"BIAT",65.5
"338014",2014-10-10,"BIAT",65.5
"338015",2014-10-13,"BIAT",65.5
"338016",2014-10-14,"BIAT",65.5
"338017",2014-10-16,"BIAT",65.5
"338018",2014-10-17,"BIAT",65.5
"338019",2014-10-20,"BIAT",65.5
"338020",2013-01-23,"BIAT",65.5
"338021",2013-07-01,"BIAT",65.5
"338023",2012-11-06,"BIAT",65.5
"338037",2012-11-07,"BIAT",65.52
"338041",2014-05-28,"BIAT",65.6
"338042",2014-05-29,"BIAT",65.6
"338053",2014-02-19,"BIAT",65.63
"338068",2014-03-14,"BIAT",65.7
"338069",2013-06-18,"BIAT",65.7
"338085",2012-11-02,"BIAT",65.75
"338094",2013-03-08,"BIAT",65.8
"338111",2014-10-21,"BIAT",65.9
"338113",2013-06-13,"BIAT",65.9
"338114",2013-06-25,"BIAT",65.9
"338115",2013-06-26,"BIAT",65.9
"338119",2013-06-24,"BIAT",65.91
"338138",2013-06-12,"BIAT",65.99
"338145",2014-04-08,"BIAT",66
"338146",2013-01-30,"BIAT",66
"338147",2013-06-19,"BIAT",66
"338148",2013-06-20,"BIAT",66
"338153",2012-09-20,"BIAT",66
"338154",2012-09-24,"BIAT",66
"338155",2012-09-25,"BIAT",66
"338191",2011-02-14,"BIAT",66.15
"338195",2014-03-10,"BIAT",66.2
"338197",2013-03-13,"BIAT",66.2
"338198",2013-03-14,"BIAT",66.2
"338200",2014-04-11,"BIAT",66.22
"338213",2011-01-31,"BIAT",66.32
"338215",2011-01-13,"BIAT",66.34
"338218",2013-02-05,"BIAT",66.4
"338222",2013-05-20,"BIAT",66.45
"338230",2011-08-29,"BIAT",66.5
"338232",2014-03-06,"BIAT",66.5
"338233",2014-06-02,"BIAT",66.5
"338234",2014-10-27,"BIAT",66.5
"338238",2013-06-14,"BIAT",66.5
"338239",2013-06-27,"BIAT",66.5
"338257",2013-03-15,"BIAT",66.6
"338258",2013-03-18,"BIAT",66.6
"338278",2014-06-03,"BIAT",66.65
"338279",2014-06-04,"BIAT",66.65
"338280",2014-06-05,"BIAT",66.65
"338285",2013-01-31,"BIAT",66.7
"338302",2013-06-21,"BIAT",66.8
"338311",2011-02-09,"BIAT",66.87
"338312",2011-02-11,"BIAT",66.87
"338339",2011-02-07,"BIAT",66.93
"338340",2011-02-08,"BIAT",66.93
"338371",2013-06-28,"BIAT",66.98
"338379",2011-02-10,"BIAT",67
"338383",2014-03-05,"BIAT",67
"338384",2014-03-24,"BIAT",67
"338385",2014-03-25,"BIAT",67
"338386",2014-03-26,"BIAT",67
"338387",2014-03-27,"BIAT",67
"338388",2014-03-28,"BIAT",67
"338389",2014-03-31,"BIAT",67
"338390",2014-04-01,"BIAT",67
"338391",2014-04-04,"BIAT",67
"338396",2012-09-21,"BIAT",67
"338431",2013-05-28,"BIAT",67.04
"338441",2013-06-17,"BIAT",67.1
"338530",2014-04-10,"BIAT",67.4
"338531",2013-03-19,"BIAT",67.4
"338542",2012-11-01,"BIAT",67.46
"338543",2014-02-20,"BIAT",67.48
"338544",2014-02-25,"BIAT",67.5
"338553",2014-02-21,"BIAT",67.51
"338576",2014-03-19,"BIAT",67.6
"338577",2014-03-21,"BIAT",67.6
"338595",2014-03-17,"BIAT",67.67
"338636",2014-03-07,"BIAT",67.8
"338656",2013-05-14,"BIAT",67.91
"338683",2014-03-04,"BIAT",67.99
"338688",2014-02-24,"BIAT",68
"338689",2014-03-03,"BIAT",68
"338690",2014-03-18,"BIAT",68
"338693",2013-02-04,"BIAT",68
"338696",2013-05-13,"BIAT",68
"338700",2012-09-19,"BIAT",68
"338707",2010-01-05,"BIAT",68.01
"338731",2013-02-01,"BIAT",68.2
"338772",2011-09-02,"BIAT",68.49
"338776",2013-04-30,"BIAT",68.5
"338777",2013-05-15,"BIAT",68.5
"338778",2013-05-16,"BIAT",68.5
"338793",2014-05-30,"BIAT",68.55
"338794",2014-02-27,"BIAT",68.56
"338796",2013-05-10,"BIAT",68.6
"338799",2013-05-09,"BIAT",68.61
"338802",2014-02-28,"BIAT",68.7
"338803",2013-04-29,"BIAT",68.7
"338837",2013-04-22,"BIAT",68.89
"338839",2013-04-16,"BIAT",68.9
"338848",2014-10-28,"BIAT",68.99
"338862",2014-10-29,"BIAT",69
"338870",2013-04-17,"BIAT",69
"338871",2013-04-18,"BIAT",69
"338872",2013-04-24,"BIAT",69
"338873",2013-04-26,"BIAT",69
"338876",2012-09-17,"BIAT",69
"338884",2013-04-15,"BIAT",69.01
"338885",2012-09-18,"BIAT",69.01
"338911",2012-09-12,"BIAT",69.25
"338912",2012-09-13,"BIAT",69.25
"338913",2012-09-14,"BIAT",69.25
"338917",2011-09-05,"BIAT",69.3
"338918",2011-09-06,"BIAT",69.3
"338919",2011-01-14,"BIAT",69.32
"338927",2013-03-21,"BIAT",69.4
"338953",2014-02-26,"BIAT",69.52
"338966",2012-09-11,"BIAT",69.7
"338968",2012-09-10,"BIAT",69.72
"338989",2012-03-21,"BIAT",69.9
"339000",2013-05-03,"BIAT",69.99
"339020",2013-03-26,"BIAT",70
"339024",2013-03-29,"BIAT",70
"339030",2013-04-12,"BIAT",70
"339031",2013-04-23,"BIAT",70
"339032",2013-05-06,"BIAT",70
"339033",2013-05-08,"BIAT",70
"339035",2012-03-13,"BIAT",70
"339036",2012-03-15,"BIAT",70
"339037",2012-03-16,"BIAT",70
"339038",2012-03-19,"BIAT",70
"339039",2012-06-28,"BIAT",70
"339040",2012-06-29,"BIAT",70
"339050",2012-09-06,"BIAT",70
"339051",2012-09-07,"BIAT",70
"339070",2012-07-02,"BIAT",70.01
"339071",2012-09-05,"BIAT",70.01
"339073",2010-01-08,"BIAT",70.01
"339075",2012-09-04,"BIAT",70.02
"339076",2012-08-30,"BIAT",70.03
"339082",2012-08-31,"BIAT",70.06
"339083",2012-03-27,"BIAT",70.07
"339085",2014-10-30,"BIAT",70.1
"339088",2012-03-14,"BIAT",70.1
"339089",2012-06-27,"BIAT",70.1
"339091",2012-07-03,"BIAT",70.11
"339095",2012-08-28,"BIAT",70.15
"339097",2012-08-24,"BIAT",70.16
"339098",2012-08-27,"BIAT",70.16
"339099",2013-05-07,"BIAT",70.17
"339100",2011-09-07,"BIAT",70.19
"339103",2013-03-27,"BIAT",70.2
"339104",2012-08-29,"BIAT",70.2
"339105",2012-09-03,"BIAT",70.2
"339107",2012-08-02,"BIAT",70.21
"339116",2012-08-07,"BIAT",70.26
"339117",2013-04-01,"BIAT",70.27
"339123",2012-08-08,"BIAT",70.3
"339124",2012-08-21,"BIAT",70.3
"339126",2012-08-09,"BIAT",70.33
"339127",2012-08-17,"BIAT",70.33
"339131",2013-03-25,"BIAT",70.4
"339134",2012-03-22,"BIAT",70.4
"339141",2012-08-16,"BIAT",70.49
"339143",2015-12-02,"BIAT",70.5
"339144",2015-12-03,"BIAT",70.5
"339145",2011-01-12,"BIAT",70.5
"339150",2013-03-28,"BIAT",70.5
"339151",2012-03-07,"BIAT",70.5
"339155",2010-03-26,"BIAT",70.5
"339168",2012-03-23,"BIAT",70.75
"339180",2012-03-12,"BIAT",70.8
"339203",2012-08-22,"BIAT",70.95
"339211",2012-08-23,"BIAT",70.99
"339231",2013-03-22,"BIAT",71
"339233",2013-04-02,"BIAT",71
"339234",2013-04-03,"BIAT",71
"339235",2013-04-05,"BIAT",71
"339236",2013-04-08,"BIAT",71
"339237",2013-04-10,"BIAT",71
"339238",2013-04-11,"BIAT",71
"339243",2012-03-06,"BIAT",71
"339244",2012-03-30,"BIAT",71
"339245",2012-07-09,"BIAT",71
"339246",2012-07-10,"BIAT",71
"339247",2012-08-15,"BIAT",71
"339251",2010-03-30,"BIAT",71
"339266",2012-07-30,"BIAT",71.1
"339267",2010-04-01,"BIAT",71.1
"339268",2013-04-04,"BIAT",71.12
"339269",2010-03-31,"BIAT",71.12
"339271",2010-03-29,"BIAT",71.15
"339274",2012-03-08,"BIAT",71.2
"339275",2012-03-09,"BIAT",71.2
"339277",2012-08-10,"BIAT",71.27
"339279",2012-07-27,"BIAT",71.3
"339280",2012-08-06,"BIAT",71.3
"339281",2012-08-14,"BIAT",71.3
"339282",2010-03-10,"BIAT",71.31
"339293",2012-08-03,"BIAT",71.39
"339297",2012-07-06,"BIAT",71.4
"339299",2010-01-14,"BIAT",71.45
"339302",2010-01-07,"BIAT",71.49
"339304",2015-11-18,"BIAT",71.5
"339311",2014-10-31,"BIAT",71.5
"339312",2014-11-03,"BIAT",71.5
"339313",2012-02-14,"BIAT",71.5
"339314",2012-02-15,"BIAT",71.5
"339315",2012-03-05,"BIAT",71.5
"339317",2012-03-28,"BIAT",71.5
"339318",2012-07-05,"BIAT",71.5
"339319",2012-07-31,"BIAT",71.5
"339320",2012-08-01,"BIAT",71.5
"339322",2010-02-11,"BIAT",71.5
"339323",2010-03-25,"BIAT",71.5
"339325",2012-06-26,"BIAT",71.52
"339326",2010-04-02,"BIAT",71.54
"339329",2015-11-17,"BIAT",71.6
"339330",2012-03-02,"BIAT",71.6
"339331",2012-07-04,"BIAT",71.6
"339333",2012-07-26,"BIAT",71.6
"339334",2010-01-13,"BIAT",71.6
"339343",2012-06-12,"BIAT",71.63
"339345",2010-03-09,"BIAT",71.64
"339346",2012-03-29,"BIAT",71.68
"339347",2015-12-04,"BIAT",71.7
"339348",2011-09-08,"BIAT",71.7
"339349",2010-01-06,"BIAT",71.7
"339352",2010-03-16,"BIAT",71.74
"339355",2012-04-23,"BIAT",71.8
"339356",2012-06-22,"BIAT",71.81
"339357",2012-06-25,"BIAT",71.81
"339363",2010-03-15,"BIAT",71.84
"339366",2010-01-12,"BIAT",71.89
"339367",2012-06-20,"BIAT",71.9
"339371",2012-02-13,"BIAT",71.95
"339372",2011-09-09,"BIAT",71.98
"339373",2012-04-03,"BIAT",71.98
"339375",2012-04-02,"BIAT",71.99
"339376",2012-07-11,"BIAT",71.99
"339377",2012-07-12,"BIAT",71.99
"339378",2010-01-11,"BIAT",71.99
"339392",2015-11-19,"BIAT",72
"339393",2015-11-20,"BIAT",72
"339394",2015-11-23,"BIAT",72
"339399",2012-02-10,"BIAT",72
"339400",2012-02-27,"BIAT",72
"339401",2012-02-28,"BIAT",72
"339402",2012-02-29,"BIAT",72
"339404",2012-03-26,"BIAT",72
"339405",2012-04-04,"BIAT",72
"339406",2012-04-11,"BIAT",72
"339407",2012-04-17,"BIAT",72
"339408",2012-04-24,"BIAT",72
"339409",2012-04-27,"BIAT",72
"339410",2012-05-07,"BIAT",72
"339411",2012-06-07,"BIAT",72
"339412",2012-06-11,"BIAT",72
"339413",2012-06-13,"BIAT",72
"339414",2012-06-14,"BIAT",72
"339415",2012-06-15,"BIAT",72
"339416",2012-06-18,"BIAT",72
"339417",2012-06-19,"BIAT",72
"339418",2012-06-21,"BIAT",72
"339419",2012-07-20,"BIAT",72
"339420",2012-07-23,"BIAT",72
"339421",2012-07-24,"BIAT",72
"339422",2010-02-12,"BIAT",72
"339423",2010-02-15,"BIAT",72
"339426",2010-03-17,"BIAT",72
"339437",2012-02-24,"BIAT",72.01
"339438",2012-04-13,"BIAT",72.01
"339439",2012-05-28,"BIAT",72.01
"339442",2012-04-10,"BIAT",72.02
"339458",2011-01-03,"BIAT",72.1
"339460",2012-05-04,"BIAT",72.1
"339461",2010-03-02,"BIAT",72.1
"339462",2012-05-30,"BIAT",72.11
"339463",2010-04-05,"BIAT",72.11
"339464",2010-03-12,"BIAT",72.12
"339465",2010-05-13,"BIAT",72.19
"339466",2012-04-18,"BIAT",72.2
"339467",2010-03-04,"BIAT",72.21
"339468",2010-03-08,"BIAT",72.23
"339469",2012-04-12,"BIAT",72.25
"339470",2012-07-17,"BIAT",72.28
"339477",2012-07-16,"BIAT",72.29
"339480",2012-04-26,"BIAT",72.3
"339481",2012-06-06,"BIAT",72.3
"339482",2012-07-19,"BIAT",72.3
"339483",2010-03-03,"BIAT",72.3
"339484",2010-04-08,"BIAT",72.3
"339485",2012-07-18,"BIAT",72.32
"339489",2012-04-25,"BIAT",72.4
"339494",2010-03-01,"BIAT",72.43
"339495",2012-05-03,"BIAT",72.44
"339504",2015-12-01,"BIAT",72.49
"339505",2015-11-30,"BIAT",72.5
"339506",2015-12-07,"BIAT",72.5
"339507",2012-01-31,"BIAT",72.5
"339508",2012-02-23,"BIAT",72.5
"339509",2012-03-01,"BIAT",72.5
"339510",2012-04-16,"BIAT",72.5
"339511",2012-04-19,"BIAT",72.5
"339512",2012-04-30,"BIAT",72.5
"339513",2010-02-25,"BIAT",72.5
"339514",2010-03-11,"BIAT",72.5
"339515",2010-03-18,"BIAT",72.5
"339516",2012-02-01,"BIAT",72.51
"339522",2010-03-05,"BIAT",72.6
"339523",2010-03-22,"BIAT",72.62
"339524",2010-04-06,"BIAT",72.62
"339540",2012-05-25,"BIAT",72.7
"339557",2012-02-17,"BIAT",72.8
"339563",2012-02-22,"BIAT",72.88
"339565",2012-02-21,"BIAT",72.9
"339568",2012-02-09,"BIAT",72.95
"339572",2015-11-27,"BIAT",73
"339574",2012-02-16,"BIAT",73
"339575",2012-04-05,"BIAT",73
"339576",2012-04-06,"BIAT",73
"339577",2012-04-20,"BIAT",73
"339581",2010-02-10,"BIAT",73
"339582",2010-04-12,"BIAT",73
"339591",2010-04-07,"BIAT",73.01
"339597",2015-12-08,"BIAT",73.1
"339598",2012-02-07,"BIAT",73.1
"339599",2012-02-08,"BIAT",73.1
"339601",2015-12-09,"BIAT",73.11
"339604",2015-11-12,"BIAT",73.15
"339606",2012-02-20,"BIAT",73.19
"339612",2012-07-13,"BIAT",73.29
"339614",2010-01-28,"BIAT",73.3
"339619",2010-03-23,"BIAT",73.34
"339624",2010-03-19,"BIAT",73.4
"339628",2010-03-24,"BIAT",73.45
"339630",2015-11-25,"BIAT",73.5
"339631",2015-11-26,"BIAT",73.5
"339632",2015-12-10,"BIAT",73.5
"339633",2011-12-07,"BIAT",73.5
"339634",2011-12-08,"BIAT",73.5
"339635",2011-12-09,"BIAT",73.5
"339636",2012-01-30,"BIAT",73.5
"339638",2012-06-08,"BIAT",73.5
"339639",2010-02-05,"BIAT",73.5
"339640",2010-02-09,"BIAT",73.5
"339641",2010-02-16,"BIAT",73.5
"339642",2010-02-17,"BIAT",73.5
"339662",2015-12-11,"BIAT",73.6
"339664",2010-02-24,"BIAT",73.6
"339668",2015-11-16,"BIAT",73.7
"339672",2010-02-18,"BIAT",73.7
"339687",2012-06-01,"BIAT",73.78
"339688",2011-01-06,"BIAT",73.8
"339689",2011-12-29,"BIAT",73.8
"339702",2012-05-31,"BIAT",73.89
"339703",2010-02-08,"BIAT",73.9
"339704",2010-04-16,"BIAT",73.9
"339705",2010-04-19,"BIAT",73.91
"339706",2015-11-24,"BIAT",73.98
"339707",2011-01-11,"BIAT",73.98
"339710",2012-05-29,"BIAT",73.99
"339725",2015-11-10,"BIAT",74
"339726",2015-11-11,"BIAT",74
"339727",2015-11-13,"BIAT",74
"339728",2015-12-16,"BIAT",74
"339729",2015-12-17,"BIAT",74
"339730",2015-12-25,"BIAT",74
"339731",2011-09-13,"BIAT",74
"339732",2011-09-15,"BIAT",74
"339733",2011-12-12,"BIAT",74
"339734",2011-12-21,"BIAT",74
"339735",2011-12-22,"BIAT",74
"339736",2011-12-23,"BIAT",74
"339737",2011-12-27,"BIAT",74
"339738",2011-12-28,"BIAT",74
"339739",2014-11-04,"BIAT",74
"339741",2012-01-26,"BIAT",74
"339742",2012-01-27,"BIAT",74
"339753",2012-05-24,"BIAT",74
"339754",2010-01-27,"BIAT",74
"339755",2010-01-29,"BIAT",74
"339756",2010-04-13,"BIAT",74
"339757",2010-04-14,"BIAT",74
"339764",2011-12-06,"BIAT",74.05
"339765",2011-12-20,"BIAT",74.05
"339769",2010-04-15,"BIAT",74.1
"339771",2011-09-12,"BIAT",74.13
"339772",2011-12-05,"BIAT",74.13
"339775",2011-10-24,"BIAT",74.15
"339776",2012-05-08,"BIAT",74.16
"339778",2015-12-30,"BIAT",74.2
"339790",2012-05-09,"BIAT",74.3
"339793",2010-02-04,"BIAT",74.36
"339800",2012-05-23,"BIAT",74.4
"339801",2010-04-28,"BIAT",74.4
"339802",2011-12-15,"BIAT",74.41
"339803",2010-02-02,"BIAT",74.41
"339804",2010-05-12,"BIAT",74.42
"339805",2011-01-04,"BIAT",74.44
"339807",2012-02-03,"BIAT",74.45
"339808",2012-02-06,"BIAT",74.46
"339811",2012-02-02,"BIAT",74.49
"339813",2015-12-14,"BIAT",74.5
"339814",2015-12-15,"BIAT",74.5
"339815",2011-10-18,"BIAT",74.5
"339816",2011-12-26,"BIAT",74.5
"339817",2012-01-18,"BIAT",74.5
"339818",2012-01-20,"BIAT",74.5
"339819",2012-01-25,"BIAT",74.5
"339831",2011-10-19,"BIAT",74.51
"339832",2014-12-09,"BIAT",74.51
"339833",2012-01-23,"BIAT",74.51
"339838",2012-01-24,"BIAT",74.53
"339840",2010-04-29,"BIAT",74.53
"339841",2010-05-03,"BIAT",74.54
"339843",2011-10-21,"BIAT",74.6
"339844",2010-04-20,"BIAT",74.6
"339845",2014-12-11,"BIAT",74.61
"339846",2012-01-09,"BIAT",74.61
"339847",2010-04-21,"BIAT",74.61
"339848",2012-01-17,"BIAT",74.62
"339849",2010-04-23,"BIAT",74.63
"339850",2014-12-12,"BIAT",74.65
"339851",2012-01-19,"BIAT",74.69
"339853",2014-12-15,"BIAT",74.7
"339855",2010-04-27,"BIAT",74.74
"339856",2011-12-01,"BIAT",74.75
"339857",2011-09-14,"BIAT",74.79
"339858",2010-01-15,"BIAT",74.79
"339863",2012-05-18,"BIAT",74.8
"339864",2012-05-21,"BIAT",74.8
"339865",2012-05-22,"BIAT",74.8
"339868",2011-10-20,"BIAT",74.85
"339869",2010-02-01,"BIAT",74.85
"339870",2011-10-25,"BIAT",74.88
"339875",2015-11-09,"BIAT",74.9
"339877",2010-02-19,"BIAT",74.9
"339881",2012-05-14,"BIAT",74.95
"339889",2012-05-11,"BIAT",74.98
"339899",2011-12-16,"BIAT",74.99
"339900",2011-12-30,"BIAT",74.99
"339901",2014-12-10,"BIAT",74.99
"339921",2015-12-21,"BIAT",75
"339922",2015-12-22,"BIAT",75
"339923",2015-12-23,"BIAT",75
"339924",2015-12-28,"BIAT",75
"339925",2011-01-05,"BIAT",75
"339927",2011-01-10,"BIAT",75
"339930",2011-10-14,"BIAT",75
"339931",2011-11-29,"BIAT",75
"339932",2011-11-30,"BIAT",75
"339933",2011-12-02,"BIAT",75
"339934",2011-12-14,"BIAT",75
"339935",2011-12-19,"BIAT",75
"339936",2014-11-07,"BIAT",75
"339937",2014-12-02,"BIAT",75
"339938",2014-12-08,"BIAT",75
"339939",2014-12-16,"BIAT",75
"339940",2014-12-24,"BIAT",75
"339942",2012-01-06,"BIAT",75
"339943",2012-01-12,"BIAT",75
"339948",2012-05-16,"BIAT",75
"339949",2012-05-17,"BIAT",75
"339953",2010-01-26,"BIAT",75
"339954",2010-02-03,"BIAT",75
"339955",2010-02-23,"BIAT",75
"339956",2010-05-04,"BIAT",75
"339958",2014-11-10,"BIAT",75.01
"339959",2014-11-26,"BIAT",75.01
"339964",2014-11-18,"BIAT",75.1
"339965",2014-11-27,"BIAT",75.1
"339966",2014-11-28,"BIAT",75.1
"339967",2014-12-17,"BIAT",75.1
"339968",2012-01-04,"BIAT",75.1
"339969",2012-01-16,"BIAT",75.1
"339970",2010-05-10,"BIAT",75.1
"339971",2012-01-03,"BIAT",75.11
"339972",2014-11-19,"BIAT",75.12
"339973",2011-10-17,"BIAT",75.2
"339974",2014-11-11,"BIAT",75.2
"339975",2012-05-15,"BIAT",75.2
"339976",2010-04-26,"BIAT",75.2
"339996",2012-01-05,"BIAT",75.34
"339997",2010-05-11,"BIAT",75.34
"339998",2014-12-01,"BIAT",75.4
"339999",2012-01-13,"BIAT",75.4
"340003",2014-11-14,"BIAT",75.49
"340004",2010-04-22,"BIAT",75.49
"340005",2014-11-05,"BIAT",75.5
"340006",2014-11-13,"BIAT",75.5
"340007",2014-11-17,"BIAT",75.5
"340008",2014-12-25,"BIAT",75.5
"340009",2012-01-11,"BIAT",75.5
"340015",2010-01-25,"BIAT",75.51
"340016",2014-11-24,"BIAT",75.52
"340017",2010-05-06,"BIAT",75.52
"340018",2012-05-10,"BIAT",75.55
"340019",2011-11-28,"BIAT",75.6
"340022",2010-05-07,"BIAT",75.65
"340023",2014-11-20,"BIAT",75.68
"340024",2011-09-16,"BIAT",75.7
"340025",2011-10-13,"BIAT",75.7
"340026",2014-11-21,"BIAT",75.7
"340028",2014-12-23,"BIAT",75.71
"340030",2012-01-10,"BIAT",75.79
"340031",2011-12-13,"BIAT",75.8
"340032",2014-12-05,"BIAT",75.8
"340035",2014-12-04,"BIAT",75.83
"340036",2014-12-03,"BIAT",75.89
"340037",2015-12-18,"BIAT",75.9
"340038",2012-01-02,"BIAT",75.9
"340042",2016-01-06,"BIAT",75.99
"340044",2011-09-19,"BIAT",76
"340045",2011-11-03,"BIAT",76
"340046",2016-01-05,"BIAT",76
"340047",2014-11-12,"BIAT",76
"340054",2010-02-22,"BIAT",76
"340056",2010-04-30,"BIAT",76
"340057",2010-05-05,"BIAT",76
"340060",2011-11-18,"BIAT",76.04
"340063",2011-09-20,"BIAT",76.1
"340064",2011-09-21,"BIAT",76.1
"340067",2014-11-25,"BIAT",76.19
"340068",2016-01-12,"BIAT",76.2
"340070",2016-01-08,"BIAT",76.27
"340074",2016-01-13,"BIAT",76.33
"340077",2016-01-15,"BIAT",76.36
"340081",2015-12-31,"BIAT",76.39
"340083",2015-12-29,"BIAT",76.47
"340087",2016-01-11,"BIAT",76.5
"340088",2014-11-06,"BIAT",76.5
"340094",2011-11-14,"BIAT",76.54
"340095",2016-01-18,"BIAT",76.61
"340096",2016-01-20,"BIAT",76.61
"340097",2011-11-25,"BIAT",76.69
"340099",2011-10-06,"BIAT",76.7
"340103",2011-01-07,"BIAT",76.8
"340104",2011-11-24,"BIAT",76.8
"340108",2011-10-26,"BIAT",76.9
"340109",2016-01-04,"BIAT",76.9
"340110",2011-10-12,"BIAT",76.91
"340111",2011-10-10,"BIAT",76.99
"340116",2011-09-22,"BIAT",77
"340117",2011-10-07,"BIAT",77
"340118",2011-10-11,"BIAT",77
"340119",2016-01-22,"BIAT",77
"340120",2014-12-26,"BIAT",77
"340127",2010-01-22,"BIAT",77
"340128",2014-12-18,"BIAT",77.03
"340129",2015-11-06,"BIAT",77.1
"340130",2011-11-09,"BIAT",77.1
"340132",2011-11-21,"BIAT",77.25
"340133",2010-01-18,"BIAT",77.25
"340139",2016-01-26,"BIAT",77.45
"340152",2015-11-04,"BIAT",77.5
"340153",2015-11-05,"BIAT",77.5
"340154",2011-11-17,"BIAT",77.5
"340155",2011-11-22,"BIAT",77.5
"340156",2011-11-23,"BIAT",77.5
"340157",2016-01-27,"BIAT",77.5
"340158",2014-12-19,"BIAT",77.5
"340159",2014-12-22,"BIAT",77.5
"340166",2016-01-28,"BIAT",77.51
"340170",2016-01-19,"BIAT",77.6
"340172",2011-10-28,"BIAT",77.69
"340173",2010-01-19,"BIAT",77.7
"340174",2010-01-20,"BIAT",77.7
"340180",2011-11-16,"BIAT",77.78
"340181",2011-11-02,"BIAT",77.8
"340190",2011-11-04,"BIAT",77.84
"340194",2011-11-15,"BIAT",77.9
"340195",2016-01-07,"BIAT",77.9
"340196",2014-12-29,"BIAT",77.9
"340201",2011-11-01,"BIAT",77.98
"340202",2011-11-11,"BIAT",77.98
"340203",2011-10-31,"BIAT",77.99
"340204",2011-11-08,"BIAT",77.99
"340205",2011-11-10,"BIAT",77.99
"340209",2015-10-30,"BIAT",78
"340210",2011-09-23,"BIAT",78
"340211",2011-10-04,"BIAT",78
"340212",2011-10-05,"BIAT",78
"340213",2011-10-27,"BIAT",78
"340214",2016-01-21,"BIAT",78
"340215",2014-12-31,"BIAT",78
"340221",2010-01-21,"BIAT",78
"340222",2015-01-02,"BIAT",78.02
"340224",2010-06-14,"BIAT",78.1
"340226",2015-10-26,"BIAT",78.2
"340250",2011-09-26,"BIAT",78.5
"340251",2016-01-29,"BIAT",78.5
"340252",2016-02-01,"BIAT",78.5
"340253",2016-02-12,"BIAT",78.5
"340254",2014-12-30,"BIAT",78.5
"340264",2015-01-19,"BIAT",78.61
"340265",2010-06-18,"BIAT",78.61
"340266",2010-07-02,"BIAT",78.62
"340267",2015-01-20,"BIAT",78.63
"340268",2010-06-17,"BIAT",78.63
"340270",2011-10-03,"BIAT",78.7
"340274",2010-06-30,"BIAT",78.8
"340275",2010-05-17,"BIAT",78.82
"340276",2010-06-25,"BIAT",78.84
"340277",2010-06-28,"BIAT",78.84
"340278",2015-10-22,"BIAT",78.9
"340279",2015-10-23,"BIAT",78.9
"340282",2010-06-23,"BIAT",78.92
"340283",2015-01-12,"BIAT",78.98
"340284",2010-06-16,"BIAT",78.98
"340285",2015-01-09,"BIAT",78.99
"340294",2015-01-08,"BIAT",79
"340298",2015-01-13,"BIAT",79
